wals code	name	value	description	latitude	longitude	genus	family	area
lil	Lillooet	1	Unrelated	50.75	-122.0	Interior Salish	Salishan	Nominal Categories
lim	Limbu	3	Related to remote demonstratives	27.1666666667	87.75	Himalayish	Sino-Tibetan	Nominal Categories
luv	Luvale	5	Related by gender markers	-12.0	22.0	Bantu	Niger-Congo	Nominal Categories
mac	Macushi	2	Related for all demonstratives	4.0	-60.0	Cariban	Cariban	Nominal Categories
mym	Malayalam	2	Related for all demonstratives	10.0	76.5	Dravidian	Dravidian	Nominal Categories
mlt	Maltese	5	Related by gender markers	35.9166666667	14.4166666667	Semitic	Afro-Asiatic	Nominal Categories
mnd	Mandarin	6	Related for non-human reference	34.0	110.0	Chinese	Sino-Tibetan	Nominal Categories
myi	Mangarrayi	2	Related for all demonstratives	-14.6666666667	133.5	Mangarrayi	Mangarrayi-Maran	Nominal Categories
mao	Maori	3	Related to remote demonstratives	-40.0	176.0	Oceanic	Austronesian	Nominal Categories
map	Mapudungun	4	Related to non-remote demonstratives	-38.0	-72.0	Araucanian	Araucanian	Nominal Categories
mhi	Marathi	2	Related for all demonstratives	19.0	76.0	Indic	Indo-European	Nominal Categories
mrg	Margi	1	Unrelated	11.0	13.0	Biu-Mandara	Afro-Asiatic	Nominal Categories
mar	Maricopa	2	Related for all demonstratives	33.1666666667	-113.166666667	Yuman	Hokan	Nominal Categories
msh	Marshallese	4	Related to non-remote demonstratives	7.11666666667	171.05	Oceanic	Austronesian	Nominal Categories
mrt	Martuthunira	1	Unrelated	-20.8333333333	116.5	Western Pama-Nyungan	Pama-Nyungan	Nominal Categories
mau	Maung	5	Related by gender markers	-11.9166666667	133.5	Iwaidjan	Iwaidjan	Nominal Categories
may	Maybrat	5	Related by gender markers	-1.33333333333	132.5	Maybrat	Maybrat	Nominal Categories
mby	Mbay	1	Unrelated	8.25	17.5	Bongo-Bagirmi	Central Sudanic	Nominal Categories
mei	Meithei	2	Related for all demonstratives	24.75	94.0	Manipuri	Sino-Tibetan	Nominal Categories
mic	Micmac	1	Unrelated	45.0	-63.0	Algonquian	Algic	Nominal Categories
mss	Miwok (Southern Sierra)	2	Related for all demonstratives	37.5	-120.0	Miwok	Penutian	Nominal Categories
mxc	Mixtec (Chalcatongo)	1	Unrelated	17.05	-97.5833333333	Mixtec	Oto-Manguean	Nominal Categories
mxo	Mixtec (Ocotepec)	1	Unrelated	17.1666666667	-97.75	Mixtec	Oto-Manguean	Nominal Categories
mxy	Mixtec (Yosondúa)	1	Unrelated	16.9166666667	-97.5833333333	Mixtec	Oto-Manguean	Nominal Categories
miy	Miya	1	Unrelated	10.9166666667	9.66666666667	West Chadic	Afro-Asiatic	Nominal Categories
mok	Mokilese	1	Unrelated	6.66666666667	159.75	Oceanic	Austronesian	Nominal Categories
mud	Mundani	1	Unrelated	5.66666666667	9.91666666667	Wide Grassfields	Niger-Congo	Nominal Categories
mun	Mundari	1	Unrelated	23.0	84.6666666667	Munda	Austro-Asiatic	Nominal Categories
mup	Mupun	6	Related for non-human reference	9.5	8.83333333333	West Chadic	Afro-Asiatic	Nominal Categories
nma	Naga (Mao)	1	Unrelated	25.5	94.3333333333	Angami-Pochuri	Sino-Tibetan	Nominal Categories
nht	Nahuatl (Tetelcingo)	2	Related for all demonstratives	19.6666666667	-99.0	Aztecan	Uto-Aztecan	Nominal Categories
kho	Nama	1	Unrelated	-25.5	18.0	Khoe-Kwadi	Khoe-Kwadi	Nominal Categories
ndy	Ndyuka	1	Unrelated	4.5	-54.5	Creoles and Pidgins	other	Nominal Categories
nez	Nez Perce	1	Unrelated	46.0	-116.0	Sahaptian	Penutian	Nominal Categories
nti	Ngiti	1	Unrelated	1.33333333333	30.25	Lendu	Central Sudanic	Nominal Categories
ngi	Ngiyambaa	2	Related for all demonstratives	-31.75	145.5	Southeastern Pama-Nyungan	Pama-Nyungan	Nominal Categories
niv	Nivkh	6	Related for non-human reference	53.3333333333	142.0	Nivkh	Nivkh	Nominal Categories
nko	Nkore-Kiga	5	Related by gender markers	-0.916666666667	29.8333333333	Bantu	Niger-Congo	Nominal Categories
nku	Nubian (Kunuz)	1	Unrelated	23.0	33.0	Nubian	Eastern Sudanic	Nominal Categories
nug	Nunggubuyu	1	Unrelated	-13.75	135.666666667	Nunggubuyu	Gunwinyguan	Nominal Categories
ond	Oneida	1	Unrelated	43.0	-75.6666666667	Northern Iroquoian	Iroquoian	Nominal Categories
orh	Oromo (Harar)	1	Unrelated	9.0	42.0	Lowland East Cushitic	Afro-Asiatic	Nominal Categories
pms	Paamese	2	Related for all demonstratives	-16.5	168.25	Oceanic	Austronesian	Nominal Categories
pal	Palauan	2	Related for all demonstratives	7.5	134.583333333	Palauan	Austronesian	Nominal Categories
pan	Panjabi	2	Related for all demonstratives	31.0	74.0	Indic	Indo-European	Nominal Categories
psm	Passamaquoddy-Maliseet	1	Unrelated	45.0	-67.0	Algonquian	Algic	Nominal Categories
pau	Paumarí	2	Related for all demonstratives	-6.0	-64.0	Arauan	Arauan	Nominal Categories
per	Pero	5	Related by gender markers	9.58333333333	11.0	West Chadic	Afro-Asiatic	Nominal Categories
prs	Persian	6	Related for non-human reference	32.0	54.0	Iranian	Indo-European	Nominal Categories
pip	Pipil	3	Related to remote demonstratives	13.8333333333	-89.5833333333	Aztecan	Uto-Aztecan	Nominal Categories
prh	Pirahã	3	Related to remote demonstratives	-7.0	-62.0	Mura	Mura	Nominal Categories
pit	Pitjantjatjara	4	Related to non-remote demonstratives	-26.0	130.0	Western Pama-Nyungan	Pama-Nyungan	Nominal Categories
ppi	Pitta Pitta	2	Related for all demonstratives	-22.8333333333	140.0	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
poh	Pohnpeian	1	Unrelated	6.88333333333	158.25	Oceanic	Austronesian	Nominal Categories
pme	Pomo (Eastern)	1	Unrelated	39.0	-122.666666667	Pomoan	Hokan	Nominal Categories
pso	Pomo (Southeastern)	2	Related for all demonstratives	39.0	-122.5	Pomoan	Hokan	Nominal Categories
qim	Quechua (Imbabura)	6	Related for non-human reference	0.333333333333	-78.0	Quechuan	Quechuan	Nominal Categories
qta	Quechua (Tarma)	6	Related for non-human reference	-11.4166666667	-75.75	Quechuan	Quechuan	Nominal Categories
ram	Rama	2	Related for all demonstratives	11.75	-83.75	Rama	Chibchan	Nominal Categories
rap	Rapanui	3	Related to remote demonstratives	-27.1166666667	-109.366666667	Oceanic	Austronesian	Nominal Categories
rej	Rejang	1	Unrelated	-3.41666666667	102.5	Rejang	Austronesian	Nominal Categories
rem	Remo	1	Unrelated	18.0	82.0	Munda	Austro-Asiatic	Nominal Categories
ret	Retuarã	2	Related for all demonstratives	-0.5	-70.6666666667	Tucanoan	Tucanoan	Nominal Categories
sam	Samoan	3	Related to remote demonstratives	-13.9166666667	-171.833333333	Oceanic	Austronesian	Nominal Categories
san	Sango	1	Unrelated	5.0	18.0	Ubangi	Niger-Congo	Nominal Categories
saw	Sawu	1	Unrelated	-11.5	121.916666667	Central Malayo-Polynesian	Austronesian	Nominal Categories
sml	Semelai	1	Unrelated	3.0	103.0	Aslian	Austro-Asiatic	Nominal Categories
snt	Sentani	2	Related for all demonstratives	-2.58333333333	140.583333333	Sentanic	Sentanic	Nominal Categories
scr	Serbian-Croatian	1	Unrelated	44.0	19.0	Slavic	Indo-European	Nominal Categories
shn	Shona	5	Related by gender markers	-18.0	31.0	Bantu	Niger-Congo	Nominal Categories
