wals code	name	value	description	latitude	longitude	genus	family	area
krb	Kiribati	2	Double-object construction	1.33333333333	173.0	Oceanic	Austronesian	Simple Clauses
kis	Kisi	2	Double-object construction	8.83333333333	-10.1666666667	Southern Mel	Niger-Congo	Simple Clauses
klm	Klamath	1	Indirect-object construction	42.5	-121.5	Klamath-Modoc	Penutian	Simple Clauses
koa	Koasati	1	Indirect-object construction	34.8333333333	-85.1666666667	Muskogean	Muskogean	Simple Clauses
kob	Kobon	2	Double-object construction	-5.16666666667	144.333333333	Kalam-Kobon	Trans-New Guinea	Simple Clauses
kod	Kodava	1	Indirect-object construction	12.1666666667	76.8333333333	Dravidian	Dravidian	Simple Clauses
kmb	Kombai	4	Mixed	-5.58333333333	140.0	Ndeiram	Trans-New Guinea	Simple Clauses
kda	Konda	1	Indirect-object construction	19.5	83.0	Dravidian	Dravidian	Simple Clauses
kon	Kongo	4	Mixed	-5.0	15.0	Bantu	Niger-Congo	Simple Clauses
kor	Korean	1	Indirect-object construction	37.5	128.0	Korean	Korean	Simple Clauses
kku	Korku	2	Double-object construction	22.5	78.5	Munda	Austro-Asiatic	Simple Clauses
kfe	Koromfe	3	Secondary-object construction	14.25	-0.916666666667	Koromfe	Niger-Congo	Simple Clauses
kse	Koyraboro Senni	4	Mixed	16.0	0.0	Songhay	Songhay	Simple Clauses
kro	Krongo	1	Indirect-object construction	10.5	30.0	Kadugli	Kadu	Simple Clauses
knc	Kugu Nganhcara	1	Indirect-object construction	-14.4166666667	142.0	Northern Pama-Nyungan	Pama-Nyungan	Simple Clauses
kya	Kuku-Yalanji	1	Indirect-object construction	-16.0	145.0	Northern Pama-Nyungan	Pama-Nyungan	Simple Clauses
kuk	Kukú	2	Double-object construction	5.83333333333	31.6666666667	Western Nilotic	Eastern Sudanic	Simple Clauses
knm	Kunama	1	Indirect-object construction	14.5	37.0	Kunama	Kunama	Simple Clauses
kug	Kunming	2	Double-object construction	25.0	102.75	Chinese	Sino-Tibetan	Simple Clauses
kut	Kutenai	3	Secondary-object construction	49.5	-116.0	Kutenai	Kutenai	Simple Clauses
kwa	Kwaio	1	Indirect-object construction	-8.95	161.0	Oceanic	Austronesian	Simple Clauses
lad	Ladakhi	1	Indirect-object construction	34.0	78.0	Bodic	Sino-Tibetan	Simple Clauses
lai	Lai	3	Secondary-object construction	22.6666666667	93.6666666667	Kuki-Chin	Sino-Tibetan	Simple Clauses
lak	Lak	1	Indirect-object construction	42.1666666667	47.1666666667	Lak	Nakh-Daghestanian	Simple Clauses
lkt	Lakhota	2	Double-object construction	43.8333333333	-101.833333333	Mississippi Valley Siouan	Siouan	Simple Clauses
lan	Lango	4	Mixed	2.16666666667	33.0	Western Nilotic	Eastern Sudanic	Simple Clauses
lat	Latvian	1	Indirect-object construction	57.0	24.0	Baltic	Indo-European	Simple Clauses
lav	Lavukaleve	1	Indirect-object construction	-9.08333333333	159.2	Lavukaleve	Solomons East Papuan	Simple Clauses
