wals code	name	value	description	latitude	longitude	genus	family	area
muu	Mundurukú	1	Absent	-7.0	-58.0	Munduruku	Tupian	Nominal Categories
mup	Mupun	1	Absent	9.5	8.83333333333	West Chadic	Afro-Asiatic	Nominal Categories
mkw	Máku	1	Absent	0.416666666667	-69.8333333333	Máku	Máku	Nominal Categories
nah	Nahali	1	Absent	19.75	77.8333333333	Nahali	Nahali	Nominal Categories
nht	Nahuatl (Tetelcingo)	1	Absent	19.6666666667	-99.0	Aztecan	Uto-Aztecan	Nominal Categories
kho	Nama	1	Absent	-25.5	18.0	Khoe-Kwadi	Khoe-Kwadi	Nominal Categories
nai	Nanai	1	Absent	49.5	137.0	Tungusic	Altaic	Nominal Categories
npu	Napu	2	Optional	-1.33333333333	120.416666667	Celebic	Austronesian	Nominal Categories
nar	Nara (in Ethiopia)	1	Absent	15.0833333333	37.5833333333	Nara	Eastern Sudanic	Nominal Categories
nrm	Narom	2	Optional	4.41666666667	114.0	North Borneo	Austronesian	Nominal Categories
nas	Nasioi	1	Absent	-6.33333333333	155.583333333	South Bougainville	South Bougainville	Nominal Categories
nau	Nauruan	3	Obligatory	-0.5	166.916666667	Oceanic	Austronesian	Nominal Categories
nav	Navajo	1	Absent	36.1666666667	-108.0	Athapaskan	Na-Dene	Nominal Categories
ndy	Ndyuka	1	Absent	4.5	-54.5	Creoles and Pidgins	other	Nominal Categories
nel	Nelemwa	3	Obligatory	-20.25	164.083333333	Oceanic	Austronesian	Nominal Categories
ntu	Nenets	1	Absent	70.0	76.0	Samoyedic	Uralic	Nominal Categories
naj	Neo-Aramaic (Arbel Jewish)	1	Absent	36.3833	44.0	Semitic	Afro-Asiatic	Nominal Categories
new	Newari (Kathmandu)	3	Obligatory	27.6666666667	85.5	Himalayish	Sino-Tibetan	Nominal Categories
ngd	Ngad'a	3	Obligatory	-8.83333333333	121.0	Central Malayo-Polynesian	Austronesian	Nominal Categories
ngy	Ngarinyman	1	Absent	-16.5	130.5	Western Pama-Nyungan	Pama-Nyungan	Nominal Categories
ngi	Ngiyambaa	1	Absent	-31.75	145.5	Southeastern Pama-Nyungan	Pama-Nyungan	Nominal Categories
ngz	Ngizim	1	Absent	12.0833333333	10.9166666667	West Chadic	Afro-Asiatic	Nominal Categories
nca	Nicobarese (Car)	2	Optional	9.0	93.0	Nicobarese	Austro-Asiatic	Nominal Categories
niv	Nivkh	3	Obligatory	53.3333333333	142.0	Nivkh	Nivkh	Nominal Categories
nvs	Nivkh (South Sakhalin)	3	Obligatory	47.0	142.5	Nivkh	Nivkh	Nominal Categories
nbd	Nubian (Dongolese)	1	Absent	18.25	30.75	Nubian	Eastern Sudanic	Nominal Categories
nug	Nunggubuyu	1	Absent	-13.75	135.666666667	Nunggubuyu	Gunwinyguan	Nominal Categories
nyl	Nyelâyu	3	Obligatory	-20.3333333333	164.333333333	Oceanic	Austronesian	Nominal Categories
nyu	Nyulnyul	1	Absent	-17.0	122.833333333	Nyulnyulan	Nyulnyulan	Nominal Categories
ood	O'odham	1	Absent	32.0	-112.0	Tepiman	Uto-Aztecan	Nominal Categories
oca	Ocaina	2	Optional	-2.75	-71.75	Witoto	Witotoan	Nominal Categories
ore	Orejón	2	Optional	-2.83333333333	-72.5	Tucanoan	Tucanoan	Nominal Categories
ori	Orig	1	Absent	12.1666666667	30.8333333333	Rashad	Kordofanian	Nominal Categories
orh	Oromo (Harar)	1	Absent	9.0	42.0	Lowland East Cushitic	Afro-Asiatic	Nominal Categories
pad	Padoe	2	Optional	-2.33333333333	121.333333333	Celebic	Austronesian	Nominal Categories
pno	Paiute (Northern)	1	Absent	42.0	-118.0	Northern Uto-Aztecan	Uto-Aztecan	Nominal Categories
put	Paiute (Southern)	1	Absent	37.8333333333	-113.333333333	Northern Uto-Aztecan	Uto-Aztecan	Nominal Categories
plk	Palikur	3	Obligatory	3.0	-51.0	Palikur	Arawakan	Nominal Categories
pnr	Panare	1	Absent	6.5	-66.0	Cariban	Cariban	Nominal Categories
prc	Paresi	1	Absent	-14.0	-57.5	Central Arawakan	Arawakan	Nominal Categories
pau	Paumarí	1	Absent	-6.0	-64.0	Arauan	Arauan	Nominal Categories
pwn	Pawnee	1	Absent	41.0	-98.6666666667	Northern Caddoan	Caddoan	Nominal Categories
prs	Persian	2	Optional	32.0	54.0	Iranian	Indo-European	Nominal Categories
pia	Piaroa	2	Optional	5.0	-67.0	Maco-Piaroa	Sáliban	Nominal Categories
pil	Pileni	2	Optional	-10.2166666667	166.216666667	Oceanic	Austronesian	Nominal Categories
pba	Pima Bajo	1	Absent	29.0	-111.0	Tepiman	Uto-Aztecan	Nominal Categories
pip	Pipil	1	Absent	13.8333333333	-89.5833333333	Aztecan	Uto-Aztecan	Nominal Categories
prh	Pirahã	1	Absent	-7.0	-62.0	Mura	Mura	Nominal Categories
pir	Piro	1	Absent	-11.0	-73.5	Purus	Arawakan	Nominal Categories
poh	Pohnpeian	3	Obligatory	6.88333333333	158.25	Oceanic	Austronesian	Nominal Categories
fma	Pulaar	1	Absent	16.5	-13.75	Peul-Serer	Niger-Congo	Nominal Categories
pur	Purépecha	3	Obligatory	19.5	-101.666666667	Tarascan	Tarascan	Nominal Categories
qcu	Quechua (Cuzco)	1	Absent	-14.5	-71.0	Quechuan	Quechuan	Nominal Categories
qhu	Quechua (Huallaga)	1	Absent	-9.5	-75.5	Quechuan	Quechuan	Nominal Categories
qim	Quechua (Imbabura)	1	Absent	0.333333333333	-78.0	Quechuan	Quechuan	Nominal Categories
qui	Quileute	1	Absent	47.9166666667	-124.25	Chimakuan	Chimakuan	Nominal Categories
rap	Rapanui	1	Absent	-27.1166666667	-109.366666667	Oceanic	Austronesian	Nominal Categories
rem	Remo	3	Obligatory	18.0	82.0	Munda	Austro-Asiatic	Nominal Categories
rse	Romani (Sepecides)	2	Optional	38.25	27.0	Indic	Indo-European	Nominal Categories
ruk	Rukai (Tanan)	1	Absent	22.8333333333	120.833333333	Rukai	Austronesian	Nominal Categories
rru	Runyoro-Rutooro	1	Absent	1.5	31.3333333333	Bantu	Niger-Congo	Nominal Categories
rus	Russian	1	Absent	56.0	38.0	Slavic	Indo-European	Nominal Categories
rcp	Russian-Chinese Pidgin (Birobidjan)	1	Absent	48.8	132.95	Creoles and Pidgins	other	Nominal Categories
sal	Salinan	1	Absent	36.0	-121.0	Salinan	Hokan	Nominal Categories
syu	Salt-Yui	1	Absent	-6.28333333333	145.033333333	Chimbu-Wahgi	Trans-New Guinea	Nominal Categories
bjs	Sama (Southern)	2	Optional	4.5	118.5	Sama-Bajaw	Austronesian	Nominal Categories
sam	Samoan	2	Optional	-13.9166666667	-171.833333333	Oceanic	Austronesian	Nominal Categories
sdw	Sandawe	1	Absent	-5.0	35.0	Sandawe	Sandawe	Nominal Categories
stl	Santali	2	Optional	24.5	87.0	Munda	Austro-Asiatic	Nominal Categories
snm	Sanuma	2	Optional	4.5	-64.6666666667	Yanomam	Yanomam	Nominal Categories
saw	Sawu	3	Obligatory	-11.5	121.916666667	Central Malayo-Polynesian	Austronesian	Nominal Categories
see	Seediq	1	Absent	24.1666666667	121.416666667	Atayalic	Austronesian	Nominal Categories
smd	Semandang	3	Obligatory	-0.75	110.5	Land Dayak	Austronesian	Nominal Categories
sml	Semelai	3	Obligatory	3.0	103.0	Aslian	Austro-Asiatic	Nominal Categories
snc	Seneca	1	Absent	42.5	-77.5	Northern Iroquoian	Iroquoian	Nominal Categories
snt	Sentani	1	Absent	-2.58333333333	140.583333333	Sentanic	Sentanic	Nominal Categories
ses	Sesotho	1	Absent	-28.0	27.0	Bantu	Niger-Congo	Nominal Categories
shs	Shasta	1	Absent	41.8333333333	-122.666666667	Shasta	Hokan	Nominal Categories
shk	Shipibo-Konibo	1	Absent	-7.5	-75.0	Panoan	Pano-Tacanan	Nominal Categories
sim	Simeulue	3	Obligatory	2.5	96.25	Northwest Sumatra-Barrier Islands	Austronesian	Nominal Categories
snh	Sinhala	1	Absent	7.0	80.5	Indic	Indo-European	Nominal Categories
sin	Siona	2	Optional	0.333333333333	-76.25	Tucanoan	Tucanoan	Nominal Categories
