wals code	name	value	description	latitude	longitude	genus	family	area
mhi	Marathi	1	Verbal constructions	19.0	76.0	Indic	Indo-European	Verbal Categories
mar	Maricopa	2	Affixes on verbs	33.1666666667	-113.166666667	Yuman	Hokan	Verbal Categories
mrd	Marind	3	Other	-7.83333333333	140.166666667	Marind-Yaqay	Trans-New Guinea	Verbal Categories
mrt	Martuthunira	3	Other	-20.8333333333	116.5	Western Pama-Nyungan	Pama-Nyungan	Verbal Categories
meh	Mehri	1	Verbal constructions	17.0	51.5	Semitic	Afro-Asiatic	Verbal Categories
mei	Meithei	1	Verbal constructions	24.75	94.0	Manipuri	Sino-Tibetan	Verbal Categories
mie	Mien	3	Other	25.0	111.0	Mienic	Hmong-Mien	Verbal Categories
mss	Miwok (Southern Sierra)	2	Affixes on verbs	37.5	-120.0	Miwok	Penutian	Verbal Categories
mxc	Mixtec (Chalcatongo)	2	Affixes on verbs	17.05	-97.5833333333	Mixtec	Oto-Manguean	Verbal Categories
mok	Mokilese	1	Verbal constructions	6.66666666667	159.75	Oceanic	Austronesian	Verbal Categories
mna	Muna	3	Other	-5.0	122.5	Celebic	Austronesian	Verbal Categories
mdg	Mundang	1	Verbal constructions	9.66666666667	14.5	Mbumic	Niger-Congo	Verbal Categories
mun	Mundari	3	Other	23.0	84.6666666667	Munda	Austro-Asiatic	Verbal Categories
nma	Naga (Mao)	2	Affixes on verbs	25.5	94.3333333333	Angami-Pochuri	Sino-Tibetan	Verbal Categories
ngt	Naga (Tangkhul)	2	Affixes on verbs	25.0	94.5	Tangkhul-Maring	Sino-Tibetan	Verbal Categories
nht	Nahuatl (Tetelcingo)	3	Other	19.6666666667	-99.0	Aztecan	Uto-Aztecan	Verbal Categories
kho	Nama	3	Other	-25.5	18.0	Khoe-Kwadi	Khoe-Kwadi	Verbal Categories
nav	Navajo	2	Affixes on verbs	36.1666666667	-108.0	Athapaskan	Na-Dene	Verbal Categories
ndy	Ndyuka	3	Other	4.5	-54.5	Creoles and Pidgins	other	Verbal Categories
