wals code	name	value	description	latitude	longitude	genus	family	area
mku	Maranungku	2	Verbal constructions	-13.6666666667	130.0	Wagaydy	Western Daly	Verbal Categories
mhi	Marathi	2	Verbal constructions	19.0	76.0	Indic	Indo-European	Verbal Categories
mrd	Marind	1	Affixes on verbs	-7.83333333333	140.166666667	Marind-Yaqay	Trans-New Guinea	Verbal Categories
mau	Maung	1	Affixes on verbs	-11.9166666667	133.5	Iwaidjan	Iwaidjan	Verbal Categories
may	Maybrat	2	Verbal constructions	-1.33333333333	132.5	Maybrat	Maybrat	Verbal Categories
meh	Mehri	2	Verbal constructions	17.0	51.5	Semitic	Afro-Asiatic	Verbal Categories
mde	Mende	2	Verbal constructions	7.83333333333	-11.5	Western Mande	Mande	Verbal Categories
mie	Mien	2	Verbal constructions	25.0	111.0	Mienic	Hmong-Mien	Verbal Categories
mss	Miwok (Southern Sierra)	1	Affixes on verbs	37.5	-120.0	Miwok	Penutian	Verbal Categories
mxc	Mixtec (Chalcatongo)	2	Verbal constructions	17.05	-97.5833333333	Mixtec	Oto-Manguean	Verbal Categories
mok	Mokilese	2	Verbal constructions	6.66666666667	159.75	Oceanic	Austronesian	Verbal Categories
mna	Muna	2	Verbal constructions	-5.0	122.5	Celebic	Austronesian	Verbal Categories
mdg	Mundang	2	Verbal constructions	9.66666666667	14.5	Mbumic	Niger-Congo	Verbal Categories
mun	Mundari	2	Verbal constructions	23.0	84.6666666667	Munda	Austro-Asiatic	Verbal Categories
mrl	Murle	2	Verbal constructions	6.5	33.5	South Surmic	Eastern Sudanic	Verbal Categories
nma	Naga (Mao)	3	Other kinds of markers	25.5	94.3333333333	Angami-Pochuri	Sino-Tibetan	Verbal Categories
ngt	Naga (Tangkhul)	1	Affixes on verbs	25.0	94.5	Tangkhul-Maring	Sino-Tibetan	Verbal Categories
nht	Nahuatl (Tetelcingo)	3	Other kinds of markers	19.6666666667	-99.0	Aztecan	Uto-Aztecan	Verbal Categories
kho	Nama	2	Verbal constructions	-25.5	18.0	Khoe-Kwadi	Khoe-Kwadi	Verbal Categories
nav	Navajo	1	Affixes on verbs	36.1666666667	-108.0	Athapaskan	Na-Dene	Verbal Categories
ndy	Ndyuka	2	Verbal constructions	4.5	-54.5	Creoles and Pidgins	other	Verbal Categories
ntu	Nenets	2	Verbal constructions	70.0	76.0	Samoyedic	Uralic	Verbal Categories
nez	Nez Perce	1	Affixes on verbs	46.0	-116.0	Sahaptian	Penutian	Verbal Categories
ngi	Ngiyambaa	2	Verbal constructions	-31.75	145.5	Southeastern Pama-Nyungan	Pama-Nyungan	Verbal Categories
niv	Nivkh	2	Verbal constructions	53.3333333333	142.0	Nivkh	Nivkh	Verbal Categories
nko	Nkore-Kiga	2	Verbal constructions	-0.916666666667	29.8333333333	Bantu	Niger-Congo	Verbal Categories
nbd	Nubian (Dongolese)	3	Other kinds of markers	18.25	30.75	Nubian	Eastern Sudanic	Verbal Categories
nug	Nunggubuyu	1	Affixes on verbs	-13.75	135.666666667	Nunggubuyu	Gunwinyguan	Verbal Categories
ond	Oneida	2	Verbal constructions	43.0	-75.6666666667	Northern Iroquoian	Iroquoian	Verbal Categories
orh	Oromo (Harar)	2	Verbal constructions	9.0	42.0	Lowland East Cushitic	Afro-Asiatic	Verbal Categories
otm	Otomí (Mezquital)	2	Verbal constructions	20.1666666667	-99.1666666667	Otomian	Oto-Manguean	Verbal Categories
pai	Paiwan	1	Affixes on verbs	22.5	120.833333333	Paiwan	Austronesian	Verbal Categories
pan	Panjabi	2	Verbal constructions	31.0	74.0	Indic	Indo-European	Verbal Categories
psm	Passamaquoddy-Maliseet	2	Verbal constructions	45.0	-67.0	Algonquian	Algic	Verbal Categories
pau	Paumarí	2	Verbal constructions	-6.0	-64.0	Arauan	Arauan	Verbal Categories
prs	Persian	2	Verbal constructions	32.0	54.0	Iranian	Indo-European	Verbal Categories
pba	Pima Bajo	2	Verbal constructions	29.0	-111.0	Tepiman	Uto-Aztecan	Verbal Categories
pit	Pitjantjatjara	1	Affixes on verbs	-26.0	130.0	Western Pama-Nyungan	Pama-Nyungan	Verbal Categories
pol	Polish	2	Verbal constructions	52.0	20.0	Slavic	Indo-European	Verbal Categories
