wals code	name	value	description	latitude	longitude	genus	family	area
abi	Abipón	4	No perfect	-29.0	-61.0	Abipon	Guaicuruan	Verbal Categories
abk	Abkhaz	3	Other perfect	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Verbal Categories
aco	Acoma	4	No perfect	34.9166666667	-107.583333333	Keresan	Keresan	Verbal Categories
afr	Afrikaans	2	From 'finish', 'already'	-31.0	22.0	Germanic	Indo-European	Verbal Categories
ain	Ainu	4	No perfect	43.0	143.0	Ainu	Ainu	Verbal Categories
akn	Akan	3	Other perfect	6.5	-1.25	Tano	Niger-Congo	Verbal Categories
ala	Alamblak	4	No perfect	-4.66666666667	143.333333333	Sepik Hill	Sepik	Verbal Categories
alw	Alawa	4	No perfect	-15.1666666667	134.25	Mara	Mangarrayi-Maran	Verbal Categories
aly	Alyawarra	3	Other perfect	-22.5	135.0	Central Pama-Nyungan	Pama-Nyungan	Verbal Categories
ame	Amele	2	From 'finish', 'already'	-5.25	145.583333333	Mabuso	Trans-New Guinea	Verbal Categories
amh	Amharic	3	Other perfect	10.0	38.0	Semitic	Afro-Asiatic	Verbal Categories
apu	Apurinã	4	No perfect	-9.0	-67.0	Purus	Arawakan	Verbal Categories
aeg	Arabic (Egyptian)	4	No perfect	30.0	31.0	Semitic	Afro-Asiatic	Verbal Categories
atu	Arabic (Tunisian)	4	No perfect	36.75	10.25	Semitic	Afro-Asiatic	Verbal Categories
ana	Araona	4	No perfect	-12.3333333333	-67.75	Tacanan	Pano-Tacanan	Verbal Categories
arp	Arapesh (Mountain)	4	No perfect	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Verbal Categories
arm	Armenian (Eastern)	3	Other perfect	40.0	45.0	Armenian	Indo-European	Verbal Categories
asm	Asmat	3	Other perfect	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Verbal Categories
atc	Atchin	4	No perfect	-16.0	167.333333333	Oceanic	Austronesian	Verbal Categories
avo	Avokaya	4	No perfect	4.66666666667	30.0	Moru-Ma'di	Central Sudanic	Verbal Categories
awp	Awa Pit	4	No perfect	1.5	-78.25	Barbacoan	Barbacoan	Verbal Categories
awn	Awngi	3	Other perfect	10.8333333333	36.6666666667	Central Cushitic	Afro-Asiatic	Verbal Categories
aze	Azerbaijani	3	Other perfect	40.5	48.5	Turkic	Altaic	Verbal Categories
bag	Bagirmi	4	No perfect	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Verbal Categories
blc	Baluchi	3	Other perfect	28.0	62.0	Iranian	Indo-European	Verbal Categories
bnj	Bandjalang	4	No perfect	-28.75	153.0	Southeastern Pama-Nyungan	Pama-Nyungan	Verbal Categories
brs	Barasano	4	No perfect	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Verbal Categories
bar	Bari	3	Other perfect	5.0	31.6666666667	Eastern Nilotic	Eastern Sudanic	Verbal Categories
bsq	Basque	3	Other perfect	43.0	-3.0	Basque	Basque	Verbal Categories
bej	Beja	3	Other perfect	18.0	36.0	Beja	Afro-Asiatic	Verbal Categories
ben	Bengali	3	Other perfect	24.0	90.0	Indic	Indo-European	Verbal Categories
bma	Berber (Middle Atlas)	4	No perfect	33.0	-5.0	Berber	Afro-Asiatic	Verbal Categories
bon	Bongu	2	From 'finish', 'already'	-5.5	145.916666667	Rai Coast	Trans-New Guinea	Verbal Categories
brh	Brahui	3	Other perfect	28.5	67.0	Dravidian	Dravidian	Verbal Categories
bul	Bulgarian	3	Other perfect	42.5	25.0	Slavic	Indo-European	Verbal Categories
bui	Buli (in Indonesia)	2	From 'finish', 'already'	1.0	128.5	South Halmahera - West New Guinea	Austronesian	Verbal Categories
but	Buriat	3	Other perfect	52.0	108.0	Mongolic	Altaic	Verbal Categories
brm	Burmese	2	From 'finish', 'already'	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Verbal Categories
bur	Burushaski	3	Other perfect	36.5	74.5	Burushaski	Burushaski	Verbal Categories
cnl	Canela	4	No perfect	-7.0	-45.0	Je Setentrional	Macro-Ge	Verbal Categories
cnt	Cantonese	3	Other perfect	23.0	113.0	Chinese	Sino-Tibetan	Verbal Categories
ceb	Cebuano	4	No perfect	10.0	124.0	Greater Central Philippine	Austronesian	Verbal Categories
cha	Chamorro	4	No perfect	13.45	144.75	Chamorro	Austronesian	Verbal Categories
cpn	Chepang	3	Other perfect	27.6666666667	84.75	Himalayish	Sino-Tibetan	Verbal Categories
cyn	Cheyenne	4	No perfect	47.0	-95.0	Algonquian	Algic	Verbal Categories
cpl	Chinantec (Palantla)	3	Other perfect	18.8333333333	-96.75	Chinantecan	Oto-Manguean	Verbal Categories
chk	Chukchi	4	No perfect	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Verbal Categories
cuu	Chuukese	4	No perfect	7.33333333333	151.75	Oceanic	Austronesian	Verbal Categories
cbo	Chácobo	4	No perfect	-12.1666666667	-66.75	Panoan	Pano-Tacanan	Verbal Categories
coc	Cocama	3	Other perfect	-5.0	-74.5	Maweti-Guarani	Tupian	Verbal Categories
cre	Cree (Plains)	4	No perfect	54.0	-110.0	Algonquian	Algic	Verbal Categories
dag	Daga	4	No perfect	-10.0	149.333333333	Dagan	Trans-New Guinea	Verbal Categories
dni	Dani (Lower Grand Valley)	4	No perfect	-4.33333333333	138.833333333	Dani	Trans-New Guinea	Verbal Categories
did	Didinga	4	No perfect	4.5	33.5	South Surmic	Eastern Sudanic	Verbal Categories
dio	Diola-Fogny	4	No perfect	13.0	-16.25	Jola	Niger-Congo	Verbal Categories
egn	Engenni	2	From 'finish', 'already'	5.16666666667	6.38333333333	Edoid	Niger-Congo	Verbal Categories
eng	English	1	From possessive	52.0	0.0	Germanic	Indo-European	Verbal Categories
eve	Evenki	3	Other perfect	56.0	125.0	Tungusic	Altaic	Verbal Categories
ewe	Ewe	4	No perfect	6.33333333333	0.416666666667	Gbe	Niger-Congo	Verbal Categories
fij	Fijian	2	From 'finish', 'already'	-17.8333333333	178.0	Oceanic	Austronesian	Verbal Categories
fin	Finnish	3	Other perfect	62.0	25.0	Finnic	Uralic	Verbal Categories
fre	French	1	From possessive	48.0	2.0	Romance	Indo-European	Verbal Categories
grf	Garífuna	3	Other perfect	15.6666666667	-88.0	Antillean Arawakan	Arawakan	Verbal Categories
