wals code	name	value	description	latitude	longitude	genus	family	area
mei	Meithei	2	Formally similar, without interrogative	24.75	94.0	Manipuri	Sino-Tibetan	Nominal Categories
min	Minangkabau	3	Formally similar, with interrogative	-1.0	101.0	Malayo-Sumbawan	Austronesian	Nominal Categories
mos	Mosetén	3	Formally similar, with interrogative	-14.75	-67.8333333333	Mosetenan	Mosetenan	Nominal Categories
nht	Nahuatl (Tetelcingo)	1	Formally different	19.6666666667	-99.0	Aztecan	Uto-Aztecan	Nominal Categories
kho	Nama	1	Formally different	-25.5	18.0	Khoe-Kwadi	Khoe-Kwadi	Nominal Categories
ndy	Ndyuka	1	Formally different	4.5	-54.5	Creoles and Pidgins	other	Nominal Categories
ngz	Ngizim	3	Formally similar, with interrogative	12.0833333333	10.9166666667	West Chadic	Afro-Asiatic	Nominal Categories
niv	Nivkh	3	Formally similar, with interrogative	53.3333333333	142.0	Nivkh	Nivkh	Nominal Categories
nvs	Nivkh (South Sakhalin)	3	Formally similar, with interrogative	47.0	142.5	Nivkh	Nivkh	Nominal Categories
nbd	Nubian (Dongolese)	1	Formally different	18.25	30.75	Nubian	Eastern Sudanic	Nominal Categories
nyu	Nyulnyul	2	Formally similar, without interrogative	-17.0	122.833333333	Nyulnyulan	Nyulnyulan	Nominal Categories
pnr	Panare	1	Formally different	6.5	-66.0	Cariban	Cariban	Nominal Categories
pan	Panjabi	3	Formally similar, with interrogative	31.0	74.0	Indic	Indo-European	Nominal Categories
pen	Pengo	2	Formally similar, without interrogative	19.8333333333	83.8333333333	Dravidian	Dravidian	Nominal Categories
prs	Persian	2	Formally similar, without interrogative	32.0	54.0	Iranian	Indo-European	Nominal Categories
pba	Pima Bajo	1	Formally different	29.0	-111.0	Tepiman	Uto-Aztecan	Nominal Categories
qhu	Quechua (Huallaga)	3	Formally similar, with interrogative	-9.5	-75.5	Quechuan	Quechuan	Nominal Categories
qim	Quechua (Imbabura)	1	Formally different	0.333333333333	-78.0	Quechuan	Quechuan	Nominal Categories
saw	Sawu	1	Formally different	-11.5	121.916666667	Central Malayo-Polynesian	Austronesian	Nominal Categories
sml	Semelai	1	Formally different	3.0	103.0	Aslian	Austro-Asiatic	Nominal Categories
ses	Sesotho	3	Formally similar, with interrogative	-28.0	27.0	Bantu	Niger-Congo	Nominal Categories
shk	Shipibo-Konibo	2	Formally similar, without interrogative	-7.5	-75.0	Panoan	Pano-Tacanan	Nominal Categories
sup	Supyire	2	Formally similar, without interrogative	11.5	-5.58333333333	Senufo	Niger-Congo	Nominal Categories
tab	Taba	2	Formally similar, without interrogative	0.0	127.5	South Halmahera - West New Guinea	Austronesian	Nominal Categories
tag	Tagalog	3	Formally similar, with interrogative	15.0	121.0	Greater Central Philippine	Austronesian	Nominal Categories
tam	Tamang (Eastern)	3	Formally similar, with interrogative	27.5	85.666666666667	Bodic	Sino-Tibetan	Nominal Categories
tml	Tamil	3	Formally similar, with interrogative	11.0	78.5	Dravidian	Dravidian	Nominal Categories
tvo	Tatar	2	Formally similar, without interrogative	56.0	49.5	Turkic	Altaic	Nominal Categories
taw	Tawala	3	Formally similar, with interrogative	-10.3333333333	150.666666667	Oceanic	Austronesian	Nominal Categories
tel	Telugu	3	Formally similar, with interrogative	16.0	79.0	Dravidian	Dravidian	Nominal Categories
tps	Tepehuan (Southeastern)	1	Formally different	23.0	-104.5	Tepiman	Uto-Aztecan	Nominal Categories
trb	Teribe	1	Formally different	9.33333333333	-82.6666666667	Western Isthmic Chibchan	Chibchan	Nominal Categories
tha	Thai	3	Formally similar, with interrogative	16.0	101.0	Kam-Tai	Tai-Kadai	Nominal Categories
tiw	Tiwi	1	Formally different	-11.5	131.0	Tiwian	Tiwian	Nominal Categories
tsi	Tsimshian (Coast)	2	Formally similar, without interrogative	52.5	-129.0	Tsimshianic	Tsimshianic	Nominal Categories
tuk	Tukang Besi	1	Formally different	-5.5	123.5	Celebic	Austronesian	Nominal Categories
tur	Turkish	1	Formally different	39.0	35.0	Turkic	Altaic	Nominal Categories
uzb	Uzbek	2	Formally similar, without interrogative	39.0	66.0	Turkic	Altaic	Nominal Categories
vaf	Vafsi	1	Formally different	34.6666666667	49.9166666667	Iranian	Indo-European	Nominal Categories
vie	Vietnamese	3	Formally similar, with interrogative	10.5	106.5	Vietic	Austro-Asiatic	Nominal Categories
war	Wari'	1	Formally different	-11.3333333333	-65.0	Chapacura-Wanham	Chapacura-Wanham	Nominal Categories
was	Washo	1	Formally different	39.25	-120.0	Washo	Washo	Nominal Categories
ykt	Yakut	2	Formally similar, without interrogative	62.0	130.0	Turkic	Altaic	Nominal Categories
yid	Yidiny	2	Formally similar, without interrogative	-17.0	145.75	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
yim	Yimas	1	Formally different	-4.66666666667	143.55	Lower Sepik	Ramu-Lower Sepik	Nominal Categories
zul	Zulu	2	Formally similar, without interrogative	-30.0	30.0	Bantu	Niger-Congo	Nominal Categories
