wals code	name	value	description	latitude	longitude	genus	family	area
abi	Abipón	2	No grammatical marking	-29.0	-61.0	Abipon	Guaicuruan	Verbal Categories
abk	Abkhaz	1	Grammatical marking	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Verbal Categories
aco	Acoma	2	No grammatical marking	34.9166666667	-107.583333333	Keresan	Keresan	Verbal Categories
afr	Afrikaans	2	No grammatical marking	-31.0	22.0	Germanic	Indo-European	Verbal Categories
ain	Ainu	2	No grammatical marking	43.0	143.0	Ainu	Ainu	Verbal Categories
akn	Akan	1	Grammatical marking	6.5	-1.25	Tano	Niger-Congo	Verbal Categories
ala	Alamblak	1	Grammatical marking	-4.66666666667	143.333333333	Sepik Hill	Sepik	Verbal Categories
alw	Alawa	1	Grammatical marking	-15.1666666667	134.25	Mara	Mangarrayi-Maran	Verbal Categories
aly	Alyawarra	1	Grammatical marking	-22.5	135.0	Central Pama-Nyungan	Pama-Nyungan	Verbal Categories
ame	Amele	2	No grammatical marking	-5.25	145.583333333	Mabuso	Trans-New Guinea	Verbal Categories
amh	Amharic	2	No grammatical marking	10.0	38.0	Semitic	Afro-Asiatic	Verbal Categories
apu	Apurinã	2	No grammatical marking	-9.0	-67.0	Purus	Arawakan	Verbal Categories
aeg	Arabic (Egyptian)	1	Grammatical marking	30.0	31.0	Semitic	Afro-Asiatic	Verbal Categories
atu	Arabic (Tunisian)	1	Grammatical marking	36.75	10.25	Semitic	Afro-Asiatic	Verbal Categories
ana	Araona	2	No grammatical marking	-12.3333333333	-67.75	Tacanan	Pano-Tacanan	Verbal Categories
arp	Arapesh (Mountain)	2	No grammatical marking	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Verbal Categories
arm	Armenian (Eastern)	1	Grammatical marking	40.0	45.0	Armenian	Indo-European	Verbal Categories
asm	Asmat	2	No grammatical marking	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Verbal Categories
atc	Atchin	2	No grammatical marking	-16.0	167.333333333	Oceanic	Austronesian	Verbal Categories
avo	Avokaya	1	Grammatical marking	4.66666666667	30.0	Moru-Ma'di	Central Sudanic	Verbal Categories
awp	Awa Pit	1	Grammatical marking	1.5	-78.25	Barbacoan	Barbacoan	Verbal Categories
awn	Awngi	2	No grammatical marking	10.8333333333	36.6666666667	Central Cushitic	Afro-Asiatic	Verbal Categories
aze	Azerbaijani	1	Grammatical marking	40.5	48.5	Turkic	Altaic	Verbal Categories
bag	Bagirmi	1	Grammatical marking	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Verbal Categories
blc	Baluchi	2	No grammatical marking	28.0	62.0	Iranian	Indo-European	Verbal Categories
bnj	Bandjalang	1	Grammatical marking	-28.75	153.0	Southeastern Pama-Nyungan	Pama-Nyungan	Verbal Categories
brs	Barasano	2	No grammatical marking	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Verbal Categories
bar	Bari	2	No grammatical marking	5.0	31.6666666667	Eastern Nilotic	Eastern Sudanic	Verbal Categories
bsq	Basque	1	Grammatical marking	43.0	-3.0	Basque	Basque	Verbal Categories
bej	Beja	1	Grammatical marking	18.0	36.0	Beja	Afro-Asiatic	Verbal Categories
ben	Bengali	2	No grammatical marking	24.0	90.0	Indic	Indo-European	Verbal Categories
bma	Berber (Middle Atlas)	1	Grammatical marking	33.0	-5.0	Berber	Afro-Asiatic	Verbal Categories
bon	Bongu	2	No grammatical marking	-5.5	145.916666667	Rai Coast	Trans-New Guinea	Verbal Categories
brh	Brahui	1	Grammatical marking	28.5	67.0	Dravidian	Dravidian	Verbal Categories
bul	Bulgarian	1	Grammatical marking	42.5	25.0	Slavic	Indo-European	Verbal Categories
bui	Buli (in Indonesia)	2	No grammatical marking	1.0	128.5	South Halmahera - West New Guinea	Austronesian	Verbal Categories
but	Buriat	1	Grammatical marking	52.0	108.0	Mongolic	Altaic	Verbal Categories
brm	Burmese	2	No grammatical marking	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Verbal Categories
bur	Burushaski	1	Grammatical marking	36.5	74.5	Burushaski	Burushaski	Verbal Categories
cnl	Canela	2	No grammatical marking	-7.0	-45.0	Je Setentrional	Macro-Ge	Verbal Categories
cnt	Cantonese	1	Grammatical marking	23.0	113.0	Chinese	Sino-Tibetan	Verbal Categories
ceb	Cebuano	1	Grammatical marking	10.0	124.0	Greater Central Philippine	Austronesian	Verbal Categories
cha	Chamorro	1	Grammatical marking	13.45	144.75	Chamorro	Austronesian	Verbal Categories
cpn	Chepang	1	Grammatical marking	27.6666666667	84.75	Himalayish	Sino-Tibetan	Verbal Categories
cyn	Cheyenne	2	No grammatical marking	47.0	-95.0	Algonquian	Algic	Verbal Categories
cpl	Chinantec (Palantla)	2	No grammatical marking	18.8333333333	-96.75	Chinantecan	Oto-Manguean	Verbal Categories
chk	Chukchi	1	Grammatical marking	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Verbal Categories
cuu	Chuukese	1	Grammatical marking	7.33333333333	151.75	Oceanic	Austronesian	Verbal Categories
cbo	Chácobo	1	Grammatical marking	-12.1666666667	-66.75	Panoan	Pano-Tacanan	Verbal Categories
coc	Cocama	2	No grammatical marking	-5.0	-74.5	Maweti-Guarani	Tupian	Verbal Categories
cre	Cree (Plains)	2	No grammatical marking	54.0	-110.0	Algonquian	Algic	Verbal Categories
dag	Daga	2	No grammatical marking	-10.0	149.333333333	Dagan	Trans-New Guinea	Verbal Categories
dni	Dani (Lower Grand Valley)	1	Grammatical marking	-4.33333333333	138.833333333	Dani	Trans-New Guinea	Verbal Categories
did	Didinga	2	No grammatical marking	4.5	33.5	South Surmic	Eastern Sudanic	Verbal Categories
dio	Diola-Fogny	2	No grammatical marking	13.0	-16.25	Jola	Niger-Congo	Verbal Categories
egn	Engenni	1	Grammatical marking	5.16666666667	6.38333333333	Edoid	Niger-Congo	Verbal Categories
eng	English	2	No grammatical marking	52.0	0.0	Germanic	Indo-European	Verbal Categories
eve	Evenki	1	Grammatical marking	56.0	125.0	Tungusic	Altaic	Verbal Categories
ewe	Ewe	2	No grammatical marking	6.33333333333	0.416666666667	Gbe	Niger-Congo	Verbal Categories
fij	Fijian	2	No grammatical marking	-17.8333333333	178.0	Oceanic	Austronesian	Verbal Categories
fin	Finnish	2	No grammatical marking	62.0	25.0	Finnic	Uralic	Verbal Categories
fre	French	1	Grammatical marking	48.0	2.0	Romance	Indo-European	Verbal Categories
grf	Garífuna	1	Grammatical marking	15.6666666667	-88.0	Antillean Arawakan	Arawakan	Verbal Categories
geo	Georgian	1	Grammatical marking	42.0	44.0	Kartvelian	Kartvelian	Verbal Categories
ger	German	2	No grammatical marking	52.0	10.0	Germanic	Indo-European	Verbal Categories
goo	Gooniyandi	2	No grammatical marking	-18.3333333333	126.333333333	Bunuban	Bunuban	Verbal Categories
grb	Grebo	1	Grammatical marking	5.0	-8.0	Kru	Niger-Congo	Verbal Categories
grk	Greek (Modern)	1	Grammatical marking	39.0	22.0	Greek	Indo-European	Verbal Categories
grw	Greenlandic (West)	2	No grammatical marking	64.0	-51.0	Eskimo	Eskimo-Aleut	Verbal Categories
gua	Guaraní	2	No grammatical marking	-26.0	-56.0	Maweti-Guarani	Tupian	Verbal Categories
gug	Gugada	2	No grammatical marking	-30.0	134.0	Western Pama-Nyungan	Pama-Nyungan	Verbal Categories
hal	Halia	2	No grammatical marking	-5.25	154.666666667	Oceanic	Austronesian	Verbal Categories
hau	Hausa	2	No grammatical marking	12.0	7.0	West Chadic	Afro-Asiatic	Verbal Categories
haw	Hawaiian	1	Grammatical marking	19.5833333333	-155.5	Oceanic	Austronesian	Verbal Categories
hwc	Hawaiian Creole	1	Grammatical marking	21.5	-158.0	Creoles and Pidgins	other	Verbal Categories
heb	Hebrew (Modern)	2	No grammatical marking	31.5	34.8333333333	Semitic	Afro-Asiatic	Verbal Categories
hin	Hindi	1	Grammatical marking	25.0	77.0	Indic	Indo-European	Verbal Categories
hix	Hixkaryana	1	Grammatical marking	-1.0	-59.0	Cariban	Cariban	Verbal Categories
hmo	Hmong Njua	2	No grammatical marking	28.0	105.0	Hmongic	Hmong-Mien	Verbal Categories
hun	Hungarian	2	No grammatical marking	47.0	20.0	Ugric	Uralic	Verbal Categories
ice	Icelandic	2	No grammatical marking	65.0	-17.0	Germanic	Indo-European	Verbal Categories
imo	Imonda	1	Grammatical marking	-3.33333333333	141.166666667	Border	Border	Verbal Categories
ind	Indonesian	2	No grammatical marking	0.0	106.0	Malayo-Sumbawan	Austronesian	Verbal Categories
ins	Inuktitut (Salluit)	2	No grammatical marking	62.0	-76.0	Eskimo	Eskimo-Aleut	Verbal Categories
ise	Isekiri	2	No grammatical marking	5.66666666667	5.5	Defoid	Niger-Congo	Verbal Categories
jak	Jakaltek	1	Grammatical marking	15.6666666667	-91.6666666667	Mayan	Mayan	Verbal Categories
jpn	Japanese	2	No grammatical marking	37.0	140.0	Japanese	Japanese	Verbal Categories
jav	Javanese	2	No grammatical marking	-7.0	111.0	Javanese	Austronesian	Verbal Categories
jiv	Jivaro	2	No grammatical marking	-2.5	-78.0	Jivaroan	Jivaroan	Verbal Categories
juh	Ju|'hoan	1	Grammatical marking	-19.0	21.0	Ju-Kung	Kxa	Verbal Categories
knk	Kanakuru	1	Grammatical marking	10.0	12.0	West Chadic	Afro-Asiatic	Verbal Categories
knd	Kannada	2	No grammatical marking	14.0	76.0	Dravidian	Dravidian	Verbal Categories
knr	Kanuri	1	Grammatical marking	12.0	13.0	Western Saharan	Saharan	Verbal Categories
krk	Karok	2	No grammatical marking	41.6666666667	-123.0	Karok	Hokan	Verbal Categories
kay	Kayardild	2	No grammatical marking	-17.05	139.5	Tangkic	Tangkic	Verbal Categories
ket	Ket	1	Grammatical marking	64.0	87.0	Yeniseian	Yeniseian	Verbal Categories
kew	Kewa	2	No grammatical marking	-6.5	143.833333333	Enga_Kewa-Huli	Trans-New Guinea	Verbal Categories
kha	Khalkha	2	No grammatical marking	47.0	105.0	Mongolic	Altaic	Verbal Categories
khm	Khmer	2	No grammatical marking	12.5	105.0	Khmer	Austro-Asiatic	Verbal Categories
