wals code	name	value	description	latitude	longitude	genus	family	area
pai	Paiwan	3	4-5 categories per word	22.5	120.833333333	Paiwan	Austronesian	Morphology
prs	Persian	3	4-5 categories per word	32.0	54.0	Iranian	Indo-European	Morphology
pip	Pipil	3	4-5 categories per word	13.8333333333	-89.5833333333	Aztecan	Uto-Aztecan	Morphology
prh	Pirahã	5	8-9 categories per word	-7.0	-62.0	Mura	Mura	Morphology
pso	Pomo (Southeastern)	3	4-5 categories per word	39.0	-122.5	Pomoan	Hokan	Morphology
qim	Quechua (Imbabura)	5	8-9 categories per word	0.333333333333	-78.0	Quechuan	Quechuan	Morphology
ram	Rama	2	2-3 categories per word	11.75	-83.75	Rama	Chibchan	Morphology
rap	Rapanui	5	8-9 categories per word	-27.1166666667	-109.366666667	Oceanic	Austronesian	Morphology
rus	Russian	3	4-5 categories per word	56.0	38.0	Slavic	Indo-European	Morphology
san	Sango	1	0-1 category per word	5.0	18.0	Ubangi	Niger-Congo	Morphology
snm	Sanuma	3	4-5 categories per word	4.5	-64.6666666667	Yanomam	Yanomam	Morphology
shk	Shipibo-Konibo	4	6-7 categories per word	-7.5	-75.0	Panoan	Pano-Tacanan	Morphology
sla	Slave	5	8-9 categories per word	67.0	-125.0	Athapaskan	Na-Dene	Morphology
spa	Spanish	3	4-5 categories per word	40.0	-4.0	Romance	Indo-European	Morphology
squ	Squamish	5	8-9 categories per word	49.6666666667	-123.166666667	Central Salish	Salishan	Morphology
sup	Supyire	2	2-3 categories per word	11.5	-5.58333333333	Senufo	Niger-Congo	Morphology
swa	Swahili	3	4-5 categories per word	-6.5	39.0	Bantu	Niger-Congo	Morphology
tag	Tagalog	2	2-3 categories per word	15.0	121.0	Greater Central Philippine	Austronesian	Morphology
tha	Thai	2	2-3 categories per word	16.0	101.0	Kam-Tai	Tai-Kadai	Morphology
tib	Tibetan (Standard Spoken)	3	4-5 categories per word	30.0	91.0	Bodic	Sino-Tibetan	Morphology
tiw	Tiwi	3	4-5 categories per word	-11.5	131.0	Tiwian	Tiwian	Morphology
tru	Trumai	5	8-9 categories per word	-11.9166666667	-53.5833333333	Trumai	Trumai	Morphology
tuk	Tukang Besi	4	6-7 categories per word	-5.5	123.5	Celebic	Austronesian	Morphology
tur	Turkish	4	6-7 categories per word	39.0	35.0	Turkic	Altaic	Morphology
vie	Vietnamese	1	0-1 category per word	10.5	106.5	Vietic	Austro-Asiatic	Morphology
wra	Warao	3	4-5 categories per word	9.33333333333	-61.6666666667	Warao	Warao	Morphology
war	Wari'	3	4-5 categories per word	-11.3333333333	-65.0	Chapacura-Wanham	Chapacura-Wanham	Morphology
wic	Wichita	7	12-13 categories per word	33.3333333333	-97.3333333333	Northern Caddoan	Caddoan	Morphology
wch	Wichí	2	2-3 categories per word	-22.5	-62.5833333333	Matacoan	Matacoan	Morphology
yag	Yagua	6	10-11 categories per word	-3.5	-72.0	Peba-Yaguan	Peba-Yaguan	Morphology
yaq	Yaqui	3	4-5 categories per word	27.5	-110.25	Cahita	Uto-Aztecan	Morphology
yor	Yoruba	4	6-7 categories per word	8.0	4.33333333333	Defoid	Niger-Congo	Morphology
yur	Yurok	4	6-7 categories per word	41.3333333333	-124.0	Yurok	Algic	Morphology
zqc	Zoque (Copainalá)	4	6-7 categories per word	17.0	-93.25	Mixe-Zoque	Mixe-Zoque	Morphology
zul	Zulu	3	4-5 categories per word	-30.0	30.0	Bantu	Niger-Congo	Morphology
