wals code	name	value	description	latitude	longitude	genus	family	area
grb	Grebo	2	Present, 2-3 remoteness distinctions	5.0	-8.0	Kru	Niger-Congo	Verbal Categories
grk	Greek (Modern)	1	Present, no remoteness distinctions	39.0	22.0	Greek	Indo-European	Verbal Categories
grw	Greenlandic (West)	4	No past tense	64.0	-51.0	Eskimo	Eskimo-Aleut	Verbal Categories
gua	Guaraní	1	Present, no remoteness distinctions	-26.0	-56.0	Maweti-Guarani	Tupian	Verbal Categories
gug	Gugada	1	Present, no remoteness distinctions	-30.0	134.0	Western Pama-Nyungan	Pama-Nyungan	Verbal Categories
hal	Halia	4	No past tense	-5.25	154.666666667	Oceanic	Austronesian	Verbal Categories
hau	Hausa	4	No past tense	12.0	7.0	West Chadic	Afro-Asiatic	Verbal Categories
haw	Hawaiian	4	No past tense	19.5833333333	-155.5	Oceanic	Austronesian	Verbal Categories
hwc	Hawaiian Creole	1	Present, no remoteness distinctions	21.5	-158.0	Creoles and Pidgins	other	Verbal Categories
heb	Hebrew (Modern)	1	Present, no remoteness distinctions	31.5	34.8333333333	Semitic	Afro-Asiatic	Verbal Categories
hin	Hindi	1	Present, no remoteness distinctions	25.0	77.0	Indic	Indo-European	Verbal Categories
hix	Hixkaryana	2	Present, 2-3 remoteness distinctions	-1.0	-59.0	Cariban	Cariban	Verbal Categories
hmo	Hmong Njua	4	No past tense	28.0	105.0	Hmongic	Hmong-Mien	Verbal Categories
hun	Hungarian	1	Present, no remoteness distinctions	47.0	20.0	Ugric	Uralic	Verbal Categories
ice	Icelandic	1	Present, no remoteness distinctions	65.0	-17.0	Germanic	Indo-European	Verbal Categories
imo	Imonda	1	Present, no remoteness distinctions	-3.33333333333	141.166666667	Border	Border	Verbal Categories
ind	Indonesian	4	No past tense	0.0	106.0	Malayo-Sumbawan	Austronesian	Verbal Categories
ins	Inuktitut (Salluit)	2	Present, 2-3 remoteness distinctions	62.0	-76.0	Eskimo	Eskimo-Aleut	Verbal Categories
ise	Isekiri	4	No past tense	5.66666666667	5.5	Defoid	Niger-Congo	Verbal Categories
jak	Jakaltek	4	No past tense	15.6666666667	-91.6666666667	Mayan	Mayan	Verbal Categories
jpn	Japanese	1	Present, no remoteness distinctions	37.0	140.0	Japanese	Japanese	Verbal Categories
jav	Javanese	4	No past tense	-7.0	111.0	Javanese	Austronesian	Verbal Categories
