wals code	name	value	description	latitude	longitude	genus	family	area
btk	Bontok	4	No indefinite, but definite article	17.0833333333	120.916666667	Northern Luzon	Austronesian	Nominal Categories
bre	Breton	1	Indefinite word distinct from 'one'	48.0	-3.0	Celtic	Indo-European	Nominal Categories
bdu	Budu	4	No indefinite, but definite article	2.0	28.0	Bantu	Niger-Congo	Nominal Categories
bum	Buma	5	No definite or indefinite article	-11.6333333333	166.833333333	Oceanic	Austronesian	Nominal Categories
brm	Burmese	5	No definite or indefinite article	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Nominal Categories
brn	Burunge	4	No indefinite, but definite article	-5.33333333333	36.0	Southern Cushitic	Afro-Asiatic	Nominal Categories
bya	Byansi	1	Indefinite word distinct from 'one'	30.1666666667	80.5	Bodic	Sino-Tibetan	Nominal Categories
cax	Campa (Axininca)	5	No definite or indefinite article	-12.0	-74.0	Pre-Andine Arawakan	Arawakan	Nominal Categories
cnl	Canela	5	No definite or indefinite article	-7.0	-45.0	Je Setentrional	Macro-Ge	Nominal Categories
cnt	Cantonese	2	Indefinite word same as 'one'	23.0	113.0	Chinese	Sino-Tibetan	Nominal Categories
cas	Cashibo	2	Indefinite word same as 'one'	-8.5	-75.5	Panoan	Pano-Tacanan	Nominal Categories
ctl	Catalan	2	Indefinite word same as 'one'	41.75	2.0	Romance	Indo-European	Nominal Categories
ceb	Cebuano	1	Indefinite word distinct from 'one'	10.0	124.0	Greater Central Philippine	Austronesian	Nominal Categories
chh	Chaha	2	Indefinite word same as 'one'	8.112935	37.93267	Semitic	Afro-Asiatic	Nominal Categories
chg	Chang	5	No definite or indefinite article	26.3333333333	94.75	Brahmaputran	Sino-Tibetan	Nominal Categories
chc	Chechen	5	No definite or indefinite article	43.25	45.8333333333	Nakh	Nakh-Daghestanian	Nominal Categories
che	Cherokee	5	No definite or indefinite article	35.5	-83.5	Southern Iroquoian	Iroquoian	Nominal Categories
chi	Chimariko	4	No indefinite, but definite article	41.0	-123.0	Chimariko	Hokan	Nominal Categories
cmr	Chin (Mara)	5	No definite or indefinite article	23.0	93.1666666667	Kuki-Chin	Sino-Tibetan	Nominal Categories
chs	Chin (Siyin)	2	Indefinite word same as 'one'	23.8333333333	94.0	Kuki-Chin	Sino-Tibetan	Nominal Categories
cti	Chin (Tiddim)	5	No definite or indefinite article	23.3333333333	93.6666666667	Kuki-Chin	Sino-Tibetan	Nominal Categories
ccm	Chinantec (Comaltepec)	2	Indefinite word same as 'one'	17.5833333333	-96.4166666667	Chinantecan	Oto-Manguean	Nominal Categories
cle	Chinantec (Lealao)	5	No definite or indefinite article	17.3333333333	-95.9166666667	Chinantecan	Oto-Manguean	Nominal Categories
cpl	Chinantec (Palantla)	4	No indefinite, but definite article	18.8333333333	-96.75	Chinantecan	Oto-Manguean	Nominal Categories
cmy	Chontal Maya	4	No indefinite, but definite article	18.1666666667	-92.5833333333	Mayan	Mayan	Nominal Categories
