wals code	name	value	description	latitude	longitude	genus	family	area
orh	Oromo (Harar)	5	Inconsistent or other	9.0	42.0	Lowland East Cushitic	Afro-Asiatic	Morphology
otm	Otomí (Mezquital)	1	Head-marking	20.1666666667	-99.1666666667	Otomian	Oto-Manguean	Morphology
pai	Paiwan	3	Double-marking	22.5	120.833333333	Paiwan	Austronesian	Morphology
pau	Paumarí	5	Inconsistent or other	-6.0	-64.0	Arauan	Arauan	Morphology
prs	Persian	5	Inconsistent or other	32.0	54.0	Iranian	Indo-European	Morphology
pip	Pipil	1	Head-marking	13.8333333333	-89.5833333333	Aztecan	Uto-Aztecan	Morphology
prh	Pirahã	4	Zero-marking	-7.0	-62.0	Mura	Mura	Morphology
pso	Pomo (Southeastern)	2	Dependent-marking	39.0	-122.5	Pomoan	Hokan	Morphology
pur	Purépecha	2	Dependent-marking	19.5	-101.666666667	Tarascan	Tarascan	Morphology
qim	Quechua (Imbabura)	2	Dependent-marking	0.333333333333	-78.0	Quechuan	Quechuan	Morphology
qui	Quileute	5	Inconsistent or other	47.9166666667	-124.25	Chimakuan	Chimakuan	Morphology
ram	Rama	5	Inconsistent or other	11.75	-83.75	Rama	Chibchan	Morphology
rap	Rapanui	5	Inconsistent or other	-27.1166666667	-109.366666667	Oceanic	Austronesian	Morphology
rus	Russian	2	Dependent-marking	56.0	38.0	Slavic	Indo-European	Morphology
sah	Sahu	1	Head-marking	1.16666666667	127.5	North Halmaheran	North Halmaheran	Morphology
syu	Salt-Yui	5	Inconsistent or other	-6.28333333333	145.033333333	Chimbu-Wahgi	Trans-New Guinea	Morphology
sdw	Sandawe	5	Inconsistent or other	-5.0	35.0	Sandawe	Sandawe	Morphology
san	Sango	5	Inconsistent or other	5.0	18.0	Ubangi	Niger-Congo	Morphology
snm	Sanuma	5	Inconsistent or other	4.5	-64.6666666667	Yanomam	Yanomam	Morphology
sml	Semelai	5	Inconsistent or other	3.0	103.0	Aslian	Austro-Asiatic	Morphology
shk	Shipibo-Konibo	2	Dependent-marking	-7.5	-75.0	Panoan	Pano-Tacanan	Morphology
siu	Siuslaw	5	Inconsistent or other	44.0	-124.0	Siuslawan	Oregon Coast	Morphology
sla	Slave	1	Head-marking	67.0	-125.0	Athapaskan	Na-Dene	Morphology
spa	Spanish	5	Inconsistent or other	40.0	-4.0	Romance	Indo-European	Morphology
squ	Squamish	5	Inconsistent or other	49.6666666667	-123.166666667	Central Salish	Salishan	Morphology
sue	Suena	5	Inconsistent or other	-7.75	147.55	Binanderean	Trans-New Guinea	Morphology
sup	Supyire	5	Inconsistent or other	11.5	-5.58333333333	Senufo	Niger-Congo	Morphology
swa	Swahili	5	Inconsistent or other	-6.5	39.0	Bantu	Niger-Congo	Morphology
tag	Tagalog	5	Inconsistent or other	15.0	121.0	Greater Central Philippine	Austronesian	Morphology
tkl	Takelma	1	Head-marking	42.5	-123.0	Takelma	Takelma	Morphology
tgp	Tanglapui	1	Head-marking	-8.28333333333	125.083333333	Alor-Pantar	Greater West Bomberai	Morphology
tau	Tauya	5	Inconsistent or other	-5.75	145.333333333	Rai Coast	Trans-New Guinea	Morphology
tlf	Telefol	1	Head-marking	-5.0	141.75	Ok	Trans-New Guinea	Morphology
tha	Thai	5	Inconsistent or other	16.0	101.0	Kam-Tai	Tai-Kadai	Morphology
tib	Tibetan (Standard Spoken)	2	Dependent-marking	30.0	91.0	Bodic	Sino-Tibetan	Morphology
tmc	Timucua	5	Inconsistent or other	30.25	-82.5	Timucua	Timucua	Morphology
tiw	Tiwi	5	Inconsistent or other	-11.5	131.0	Tiwian	Tiwian	Morphology
tli	Tlingit	1	Head-marking	59.0	-135.0	Tlingit	Na-Dene	Morphology
ton	Tonkawa	5	Inconsistent or other	30.25	-96.75	Tonkawa	Tonkawa	Morphology
tru	Trumai	2	Dependent-marking	-11.9166666667	-53.5833333333	Trumai	Trumai	Morphology
tuk	Tukang Besi	5	Inconsistent or other	-5.5	123.5	Celebic	Austronesian	Morphology
tun	Tunica	1	Head-marking	32.6666666667	-91.0	Tunica	Tunica	Morphology
tur	Turkish	5	Inconsistent or other	39.0	35.0	Turkic	Altaic	Morphology
tsh	Tümpisa Shoshone	2	Dependent-marking	37.0	-117.0	Northern Uto-Aztecan	Uto-Aztecan	Morphology
ung	Ungarinjin	5	Inconsistent or other	-16.3333333333	126.0	Worrorran	Worrorran	Morphology
uhi	Uradhi	2	Dependent-marking	-11.9166666667	142.416666667	Northern Pama-Nyungan	Pama-Nyungan	Morphology
usa	Usan	1	Head-marking	-4.83333333333	145.166666667	North Adelbert	Trans-New Guinea	Morphology
vie	Vietnamese	4	Zero-marking	10.5	106.5	Vietic	Austro-Asiatic	Morphology
wao	Waorani	5	Inconsistent or other	-1.0	-76.5	Waorani	Waorani	Morphology
wra	Warao	5	Inconsistent or other	9.33333333333	-61.6666666667	Warao	Warao	Morphology
wry	Waray (in Australia)	5	Inconsistent or other	-13.1666666667	131.25	Western Gunwinyguan	Gunwinyguan	Morphology
war	Wari'	1	Head-marking	-11.3333333333	-65.0	Chapacura-Wanham	Chapacura-Wanham	Morphology
wrl	Warlpiri	5	Inconsistent or other	-20.0	132.333333333	Western Pama-Nyungan	Pama-Nyungan	Morphology
wrn	Warndarang	1	Head-marking	-14.4166666667	135.583333333	Mara	Mangarrayi-Maran	Morphology
was	Washo	1	Head-marking	39.25	-120.0	Washo	Washo	Morphology
wsk	Waskia	5	Inconsistent or other	-4.5	146.0	Kowan	Trans-New Guinea	Morphology
wem	Wembawemba	3	Double-marking	-35.3333333333	144.0	Southeastern Pama-Nyungan	Pama-Nyungan	Morphology
wic	Wichita	1	Head-marking	33.3333333333	-97.3333333333	Northern Caddoan	Caddoan	Morphology
wch	Wichí	5	Inconsistent or other	-22.5	-62.5833333333	Matacoan	Matacoan	Morphology
win	Wintu	5	Inconsistent or other	41.0	-122.5	Wintuan	Penutian	Morphology
xok	Xokleng	5	Inconsistent or other	-24.5	-50.0	Je Meridional	Macro-Ge	Morphology
yag	Yagua	5	Inconsistent or other	-3.5	-72.0	Peba-Yaguan	Peba-Yaguan	Morphology
yli	Yali	1	Head-marking	-4.0	139.333333333	Dani	Trans-New Guinea	Morphology
yaq	Yaqui	3	Double-marking	27.5	-110.25	Cahita	Uto-Aztecan	Morphology
yes	Yessan-Mayo	1	Head-marking	-4.16666666667	142.583333333	Tama Sepik	Sepik	Morphology
yim	Yimas	5	Inconsistent or other	-4.66666666667	143.55	Lower Sepik	Ramu-Lower Sepik	Morphology
yor	Yoruba	5	Inconsistent or other	8.0	4.33333333333	Defoid	Niger-Congo	Morphology
yuc	Yuchi	1	Head-marking	35.75	-86.75	Yuchi	Yuchi	Morphology
yko	Yukaghir (Kolyma)	5	Inconsistent or other	65.75	150.833333333	Yukaghir	Yukaghir	Morphology
ypk	Yup'ik (Central)	3	Double-marking	59.5	-160.0	Eskimo	Eskimo-Aleut	Morphology
yur	Yurok	1	Head-marking	41.3333333333	-124.0	Yurok	Algic	Morphology
zqc	Zoque (Copainalá)	3	Double-marking	17.0	-93.25	Mixe-Zoque	Mixe-Zoque	Morphology
zul	Zulu	5	Inconsistent or other	-30.0	30.0	Bantu	Niger-Congo	Morphology
zun	Zuni	5	Inconsistent or other	35.0833333333	-108.833333333	Zuni	Zuni	Morphology
