wals code	name	value	description	latitude	longitude	genus	family	area
abi	Abipón	2	No inflectional future	-29.0	-61.0	Abipon	Guaicuruan	Verbal Categories
abk	Abkhaz	1	Inflectional future exists	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Verbal Categories
aco	Acoma	2	No inflectional future	34.9166666667	-107.583333333	Keresan	Keresan	Verbal Categories
afr	Afrikaans	2	No inflectional future	-31.0	22.0	Germanic	Indo-European	Verbal Categories
ain	Ainu	2	No inflectional future	43.0	143.0	Ainu	Ainu	Verbal Categories
akn	Akan	1	Inflectional future exists	6.5	-1.25	Tano	Niger-Congo	Verbal Categories
ala	Alamblak	1	Inflectional future exists	-4.66666666667	143.333333333	Sepik Hill	Sepik	Verbal Categories
alw	Alawa	1	Inflectional future exists	-15.1666666667	134.25	Mara	Mangarrayi-Maran	Verbal Categories
aly	Alyawarra	1	Inflectional future exists	-22.5	135.0	Central Pama-Nyungan	Pama-Nyungan	Verbal Categories
ame	Amele	1	Inflectional future exists	-5.25	145.583333333	Mabuso	Trans-New Guinea	Verbal Categories
amh	Amharic	2	No inflectional future	10.0	38.0	Semitic	Afro-Asiatic	Verbal Categories
apu	Apurinã	1	Inflectional future exists	-9.0	-67.0	Purus	Arawakan	Verbal Categories
aeg	Arabic (Egyptian)	1	Inflectional future exists	30.0	31.0	Semitic	Afro-Asiatic	Verbal Categories
atu	Arabic (Tunisian)	2	No inflectional future	36.75	10.25	Semitic	Afro-Asiatic	Verbal Categories
ana	Araona	2	No inflectional future	-12.3333333333	-67.75	Tacanan	Pano-Tacanan	Verbal Categories
arp	Arapesh (Mountain)	1	Inflectional future exists	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Verbal Categories
arm	Armenian (Eastern)	2	No inflectional future	40.0	45.0	Armenian	Indo-European	Verbal Categories
asm	Asmat	1	Inflectional future exists	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Verbal Categories
atc	Atchin	2	No inflectional future	-16.0	167.333333333	Oceanic	Austronesian	Verbal Categories
avo	Avokaya	2	No inflectional future	4.66666666667	30.0	Moru-Ma'di	Central Sudanic	Verbal Categories
awp	Awa Pit	1	Inflectional future exists	1.5	-78.25	Barbacoan	Barbacoan	Verbal Categories
awn	Awngi	1	Inflectional future exists	10.8333333333	36.6666666667	Central Cushitic	Afro-Asiatic	Verbal Categories
aze	Azerbaijani	1	Inflectional future exists	40.5	48.5	Turkic	Altaic	Verbal Categories
bag	Bagirmi	2	No inflectional future	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Verbal Categories
blc	Baluchi	1	Inflectional future exists	28.0	62.0	Iranian	Indo-European	Verbal Categories
bnj	Bandjalang	1	Inflectional future exists	-28.75	153.0	Southeastern Pama-Nyungan	Pama-Nyungan	Verbal Categories
brs	Barasano	2	No inflectional future	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Verbal Categories
bar	Bari	2	No inflectional future	5.0	31.6666666667	Eastern Nilotic	Eastern Sudanic	Verbal Categories
bsq	Basque	1	Inflectional future exists	43.0	-3.0	Basque	Basque	Verbal Categories
bej	Beja	2	No inflectional future	18.0	36.0	Beja	Afro-Asiatic	Verbal Categories
ben	Bengali	1	Inflectional future exists	24.0	90.0	Indic	Indo-European	Verbal Categories
bma	Berber (Middle Atlas)	2	No inflectional future	33.0	-5.0	Berber	Afro-Asiatic	Verbal Categories
bon	Bongu	1	Inflectional future exists	-5.5	145.916666667	Rai Coast	Trans-New Guinea	Verbal Categories
brh	Brahui	2	No inflectional future	28.5	67.0	Dravidian	Dravidian	Verbal Categories
